Ec,Es,ds,Aw,hs,tc,ks
48,210,30,266,150,250,576.65
48,210,30,266,150,250,576.65
48,210,30,266,150,250,576.65
48,210,30,266,150,250,519.9
48,210,30,266,150,250,519.9
48,210,30,266,150,250,519.9
36.93484446,210,30,266,200,400,385.6
36.93484446,210,30,266,200,400,782.9
36.93484446,210,30,266,200,400,720.05
37.117,210,30,266,200,400,701.1
37.117,210,30,266,200,400,755
37.117,210,30,266,200,400,552.9
27.86863078,210,31.8,311.5,97.5,177.8,377.8
28.65489624,210,31.8,311.5,100.1,177.8,290.72
